video_id,frame_idx,t,track_id,class,conf_det,u,v,w,h
Coldwater_MI_2025-Sep-20_12-10-20_PM,0,0.000000,1096423,car,0.5524,729.6,337.7,49.4,39.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,0,0.000000,1097053,car,0.5573,17.7,673.2,232.5,89.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,0,0.000000,1096559,truck,0.4352,0.0,739.9,356.9,157.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,0,0.000000,1097753,car,0.4043,1.7,728.3,344.0,170.4
Coldwater_MI_2025-Sep-20_12-10-20_PM,0,0.000000,1097794,car,0.3356,683.6,305.4,56.5,48.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,0,0.000000,1097804,person,0.4431,1786.4,626.1,33.1,91.3
Coldwater_MI_2025-Sep-20_12-10-20_PM,0,0.000000,1097039,person,0.3238,1742.7,617.6,42.0,107.4
Coldwater_MI_2025-Sep-20_12-10-20_PM,1,0.033333,1096423,car,0.6085,728.8,336.0,50.2,39.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,1,0.033333,1097053,car,0.5574,21.5,673.5,229.6,88.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,1,0.033333,1096559,car,0.4377,0.0,744.8,351.3,153.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,1,0.033333,1097753,truck,0.4061,4.1,730.6,338.7,167.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,1,0.033333,1097794,car,0.3601,683.0,306.3,56.1,47.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,1,0.033333,1097885,car,0.8180,941.8,695.3,168.7,84.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,1,0.033333,1097886,car,0.7845,1447.9,550.5,147.4,60.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,1,0.033333,1097887,person,0.7400,536.0,930.4,40.4,95.4
Coldwater_MI_2025-Sep-20_12-10-20_PM,1,0.033333,1097888,car,0.7136,1644.5,536.2,149.0,62.4
Coldwater_MI_2025-Sep-20_12-10-20_PM,1,0.033333,1097889,car,0.5274,463.1,348.6,51.5,44.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,1,0.033333,1097890,car,0.4152,640.8,496.3,61.6,52.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,1,0.033333,1097891,car,0.4919,1521.7,916.5,277.3,156.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,1,0.033333,1097892,car,0.4822,558.5,306.7,62.0,45.3
Coldwater_MI_2025-Sep-20_12-10-20_PM,1,0.033333,1097804,person,0.4332,1786.6,626.7,33.2,90.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,1,0.033333,1097039,person,0.3335,1742.8,618.2,42.4,106.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,2,0.066667,1096423,car,0.6298,727.9,334.2,51.8,41.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,2,0.066667,1097053,car,0.5539,24.1,673.5,227.7,88.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,2,0.066667,1096559,car,0.4433,0.0,747.4,348.1,150.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,2,0.066667,1097753,truck,0.3972,5.4,732.0,336.1,166.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,2,0.066667,1097794,car,0.3562,683.1,306.8,55.8,47.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,2,0.066667,1097885,car,0.8460,936.5,693.5,171.3,86.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,2,0.066667,1097886,car,0.7849,1447.9,550.5,147.4,60.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,2,0.066667,1097887,person,0.7460,536.5,930.2,40.0,94.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,2,0.066667,1097888,car,0.7072,1647.0,536.8,144.1,60.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,2,0.066667,1097889,car,0.5858,463.0,348.7,52.9,45.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,2,0.066667,1097890,car,0.4705,640.0,495.3,63.4,54.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,2,0.066667,1097891,car,0.5164,1489.5,892.9,312.0,176.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,2,0.066667,1097892,car,0.4786,560.8,310.9,55.0,40.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,2,0.066667,1097804,person,0.4449,1786.8,627.0,33.7,89.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,2,0.066667,1097039,person,0.3362,1742.7,618.3,43.0,106.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,2,0.066667,1097896,person,0.3376,1705.6,616.1,39.5,61.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,3,0.100000,1096423,car,0.6293,727.5,333.2,52.7,42.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,3,0.100000,1097053,car,0.5579,25.4,673.6,226.5,88.4
